SimulationTraderName.csv,PMTraderName.csv,SimulationStrategyName
SQfu_DLl@10.101.7.2@27101.csv,SQfu_DLl@192.168.1.29@13701.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLl@10.101.7.2@27102.csv,SQfu_DLl@192.168.1.29@13702.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLl@10.101.7.2@27103.csv,SQfu_DLl@192.168.1.29@13703.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLl@10.101.7.2@27104.csv,SQfu_DLl@192.168.1.29@13704.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLl@10.101.7.2@27105.csv,SQfu_DLl@192.168.1.29@13705.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLpp@10.101.7.2@27106.csv,SQfu_DLpp@192.168.1.29@13706.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLpp@10.101.7.2@27107.csv,SQfu_DLpp@192.168.1.29@13707.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLpp@10.101.7.2@27108.csv,SQfu_DLpp@192.168.1.29@13708.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLpp@10.101.7.2@27109.csv,SQfu_DLpp@192.168.1.29@13709.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLpp@10.101.7.2@27110.csv,SQfu_DLpp@192.168.1.29@13710.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLv@10.101.7.2@27111.csv,SQfu_DLv@192.168.1.29@13711.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLv@10.101.7.2@27112.csv,SQfu_DLv@192.168.1.29@13712.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLv@10.101.7.2@27113.csv,SQfu_DLv@192.168.1.29@13713.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLv@10.101.7.2@27114.csv,SQfu_DLv@192.168.1.29@13714.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLv@10.101.7.2@27115.csv,SQfu_DLv@192.168.1.29@13715.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQbu@10.101.7.2@27116.csv,SQfu_SQbu@192.168.1.29@13716.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQbu@10.101.7.2@27117.csv,SQfu_SQbu@192.168.1.29@13717.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQbu@10.101.7.2@27118.csv,SQfu_SQbu@192.168.1.29@13718.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQbu@10.101.7.2@27119.csv,SQfu_SQbu@192.168.1.29@13719.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQbu@10.101.7.2@27120.csv,SQfu_SQbu@192.168.1.29@13720.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQsc@10.101.7.2@27126.csv,SQfu_SQsc@192.168.1.29@13726.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQsc@10.101.7.2@27127.csv,SQfu_SQsc@192.168.1.29@13727.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQsc@10.101.7.2@27128.csv,SQfu_SQsc@192.168.1.29@13728.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQsc@10.101.7.2@27129.csv,SQfu_SQsc@192.168.1.29@13729.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQsc@10.101.7.2@27130.csv,SQfu_SQsc@192.168.1.29@13730.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZMA@10.101.7.2@27131.csv,SQfu_ZZMA@192.168.1.29@13731.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZMA@10.101.7.2@27132.csv,SQfu_ZZMA@192.168.1.29@13732.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZMA@10.101.7.2@27133.csv,SQfu_ZZMA@192.168.1.29@13733.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZMA@10.101.7.2@27134.csv,SQfu_ZZMA@192.168.1.29@13734.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZMA@10.101.7.2@27135.csv,SQfu_ZZMA@192.168.1.29@13735.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZTA@10.101.7.2@27136.csv,SQfu_ZZTA@192.168.1.29@13736.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZTA@10.101.7.2@27137.csv,SQfu_ZZTA@192.168.1.29@13737.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZTA@10.101.7.2@27138.csv,SQfu_ZZTA@192.168.1.29@13738.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZTA@10.101.7.2@27139.csv,SQfu_ZZTA@192.168.1.29@13739.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZTA@10.101.7.2@27140.csv,SQfu_ZZTA@192.168.1.29@13740.csv,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
TF@10.101.7.1@63001.csv,TF@192.168.1.29@26646.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63002.csv,TF@192.168.1.29@26647.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63003.csv,TF@192.168.1.29@26648.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63004.csv,TF@192.168.1.29@26649.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63005.csv,TF@192.168.1.29@26650.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63006.csv,TF@192.168.1.29@26651.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63007.csv,TF@192.168.1.29@26652.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63008.csv,TF@192.168.1.29@26653.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63009.csv,TF@192.168.1.29@26654.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63010.csv,TF@192.168.1.29@26655.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63011.csv,TF@192.168.1.29@26656.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63012.csv,TF@192.168.1.29@26657.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63013.csv,TF@192.168.1.29@26658.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63014.csv,TF@192.168.1.29@26659.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@63015.csv,TF@192.168.1.29@26660.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63016.csv,TT@192.168.1.29@26661.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63017.csv,TT@192.168.1.29@26662.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63018.csv,TT@192.168.1.29@26663.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63019.csv,TT@192.168.1.29@26664.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63020.csv,TT@192.168.1.29@26665.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63021.csv,TT@192.168.1.29@26666.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63022.csv,TT@192.168.1.29@26667.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63023.csv,TT@192.168.1.29@26668.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63024.csv,TT@192.168.1.29@26669.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63025.csv,TT@192.168.1.29@26670.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63026.csv,TT@192.168.1.29@26671.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63027.csv,TT@192.168.1.29@26672.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63028.csv,TT@192.168.1.29@26673.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63029.csv,TT@192.168.1.29@26674.csv,Cn.Id007929.CffexTT
TT@10.101.7.1@63030.csv,TT@192.168.1.29@26675.csv,Cn.Id007929.CffexTT
TF@10.101.7.1@27201.csv,TF@192.168.1.55@25501.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27202.csv,TF@192.168.1.55@25502.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27203.csv,TF@192.168.1.55@25503.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27204.csv,TF@192.168.1.55@25504.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27205.csv,TF@192.168.1.55@25505.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27206.csv,TF@192.168.1.55@25506.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27207.csv,TF@192.168.1.55@25507.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27208.csv,TF@192.168.1.55@25508.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27209.csv,TF@192.168.1.55@25509.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27210.csv,TF@192.168.1.55@25510.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27211.csv,TF@192.168.1.55@25511.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27212.csv,TF@192.168.1.55@25512.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27213.csv,TF@192.168.1.55@25513.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27214.csv,TF@192.168.1.55@25514.csv,Cn.Id007962.TTTF
TF@10.101.7.1@27215.csv,TF@192.168.1.55@25515.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27216.csv,TT@192.168.1.55@25516.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27217.csv,TT@192.168.1.55@25517.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27218.csv,TT@192.168.1.55@25518.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27219.csv,TT@192.168.1.55@25519.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27220.csv,TT@192.168.1.55@25520.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27221.csv,TT@192.168.1.55@25521.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27222.csv,TT@192.168.1.55@25522.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27223.csv,TT@192.168.1.55@25523.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27224.csv,TT@192.168.1.55@25524.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27225.csv,TT@192.168.1.55@25525.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27226.csv,TT@192.168.1.55@25526.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27227.csv,TT@192.168.1.55@25527.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27228.csv,TT@192.168.1.55@25528.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27229.csv,TT@192.168.1.55@25529.csv,Cn.Id007962.TTTF
TT@10.101.7.1@27230.csv,TT@192.168.1.55@25530.csv,Cn.Id007962.TTTF
DLa_DLjd@10.101.7.2@40301.csv,DLa_DLjd@192.168.1.55@11001.csv,Cn.Id807035.ComA3
DLa_DLm@10.101.7.2@40302.csv,DLa_DLm@192.168.1.55@11002.csv,Cn.Id807035.ComA3
DLa_DLy@10.101.7.2@40303.csv,DLa_DLy@192.168.1.55@11003.csv,Cn.Id807035.ComA3
DLa_ZZOI@10.101.7.2@40304.csv,DLa_ZZOI@192.168.1.55@11004.csv,Cn.Id807035.ComA3
DLa_ZZRM@10.101.7.2@40305.csv,DLa_ZZRM@192.168.1.55@11005.csv,Cn.Id807035.ComA3
